#Lambda (AA)  Relative Transmission
      6910.00     0.393402
      6915.00     0.390546
      6920.00     0.387939
      6925.00     0.385085
      6930.00     0.382468
      6935.00     0.379697
      6940.00     0.376850
      6945.00     0.374013
      6950.00     0.371258
      6955.00     0.368698
      6960.00     0.365980
      6965.00     0.363304
      6970.00     0.360608
      6975.00     0.357839
      6980.00     0.355086
      6985.00     0.352359
      6990.00     0.349775
      6995.00     0.347140
      7000.00     0.344447
      7005.00     0.341833
      7010.00     0.339211
      7015.00     0.336530
      7020.00     0.334010
      7025.00     0.331460
      7030.00     0.328800
      7035.00     0.326214
      7040.00     0.323592
      7045.00     0.321009
      7050.00     0.318685
      7055.00     0.316024
      7060.00     0.313374
      7065.00     0.310913
      7070.00     0.308412
      7075.00     0.305867
      7080.00     0.303311
      7085.00     0.300923
      7090.00     0.298453
      7095.00     0.295983
      7100.00     0.293496
      7105.00     0.291177
      7110.00     0.288753
      7115.00     0.286246
      7120.00     0.283888
      7125.00     0.281528
      7130.00     0.278953
      7135.00     0.276774
      7140.00     0.274253
      7145.00     0.272025
      7150.00     0.269680
      7155.00     0.267284
      7160.00     0.264992
      7165.00     0.262599
      7170.00     0.260402
      7175.00     0.258223
      7180.00     0.255876
      7185.00     0.253669
      7190.00     0.251393
      7195.00     0.249043
      7200.00     0.247002
      7205.00     0.244701
      7210.00     0.242510
      7215.00     0.240397
      7220.00     0.238162
      7225.00     0.236006
      7230.00     0.233926
      7235.00     0.231737
      7240.00     0.229692
      7245.00     0.227500
      7250.00     0.225482
      7255.00     0.223268
      7260.00     0.221231
      7265.00     0.219176
      7270.00     0.217105
      7275.00     0.215089
      7280.00     0.213152
      7285.00     0.211044
      7290.00     0.209007
      7295.00     0.206992
      7300.00     0.205053
      7305.00     0.203101
      7310.00     0.201122
      7315.00     0.199180
      7320.00     0.197181
      7325.00     0.195277
      7330.00     0.193367
      7335.00     0.191477
      7340.00     0.189634
      7345.00     0.187699
      7350.00     0.185838
      7355.00     0.183959
      7360.00     0.182059
      7365.00     0.180300
      7370.00     0.178464
      7375.00     0.176610
      7380.00     0.174766
      7385.00     0.173023
      7390.00     0.171149
      7395.00     0.169347
      7400.00     0.167713
      7405.00     0.165855
      7410.00     0.164133
      7415.00     0.162386
      7420.00     0.160697
      7425.00     0.158956
      7430.00     0.157306
      7435.00     0.155561
      7440.00     0.153950
      7445.00     0.152252
      7450.00     0.150584
      7455.00     0.148892
      7460.00     0.147359
      7465.00     0.145725
      7470.00     0.144118
      7475.00     0.142460
      7480.00     0.140862
      7485.00     0.139349
      7490.00     0.137758
      7495.00     0.136255
      7500.00     0.134659
      7505.00     0.133124
      7510.00     0.131659
      7515.00     0.130182
      7520.00     0.128589
      7525.00     0.127082
      7530.00     0.125704
      7535.00     0.124231
      7540.00     0.122775
      7545.00     0.121288
      7550.00     0.119930
      7555.00     0.118505
      7560.00     0.117145
      7565.00     0.115674
      7570.00     0.114341
      7575.00     0.112954
      7580.00     0.111567
      7585.00     0.110225
      7590.00     0.108882
      7595.00     0.107545
      7600.00     0.106220
      7605.00     0.104924
      7610.00     0.103655
      7615.00     0.102429
      7620.00     0.101136
      7625.00    0.0998096
      7630.00    0.0985915
      7635.00    0.0973739
      7640.00    0.0961237
      7645.00    0.0949626
      7650.00    0.0937613
      7655.00    0.0925549
      7660.00    0.0914130
      7665.00    0.0902871
      7670.00    0.0890703
      7675.00    0.0879369
      7680.00    0.0867874
      7685.00    0.0856675
      7690.00    0.0845342
      7695.00    0.0835050
      7700.00    0.0823160
      7705.00    0.0812699
      7710.00    0.0802359
      7715.00    0.0791584
      7720.00    0.0781278
      7725.00    0.0770977
      7730.00    0.0760525
      7735.00    0.0750357
      7740.00    0.0740440
      7745.00    0.0730551
      7750.00    0.0721140
      7755.00    0.0710866
      7760.00    0.0701253
      7765.00    0.0691752
      7770.00    0.0682560
      7775.00    0.0673354
      7780.00    0.0663810
      7785.00    0.0654499
      7790.00    0.0645357
      7795.00    0.0636480
      7800.00    0.0627560
      7805.00    0.0619048
      7810.00    0.0610756
      7815.00    0.0602058
      7820.00    0.0593570
      7825.00    0.0584953
      7830.00    0.0577109
