 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
    994.6900  0.124567E+00  0.882879E+00  
    961.5533  0.155645E+00  0.855863E+00  
    928.4167  0.184675E+00  0.831374E+00  
    895.2800  0.194994E+00  0.822840E+00  
    862.1433  0.187845E+00  0.828743E+00  
    829.0067  0.180536E+00  0.834823E+00  
    795.8700  0.173057E+00  0.841090E+00  
    762.7333  0.165404E+00  0.847551E+00  
    729.5967  0.157574E+00  0.854213E+00  
    696.4600  0.149571E+00  0.861077E+00  
    663.3233  0.141399E+00  0.868142E+00  
    630.1867  0.133070E+00  0.875404E+00  
    597.0500  0.124597E+00  0.882853E+00  
    563.9133  0.115998E+00  0.890477E+00  
    530.7767  0.107297E+00  0.898259E+00  
    497.6400  0.985201E-01  0.906177E+00  
    464.5033  0.896980E-01  0.914207E+00  
    431.3667  0.808658E-01  0.922317E+00  
    398.2300  0.720626E-01  0.930473E+00  
    365.0933  0.633316E-01  0.938632E+00  
    331.9567  0.547208E-01  0.946749E+00  
    298.8200  0.462829E-01  0.954772E+00  
    265.6833  0.380757E-01  0.962640E+00  
    232.5467  0.301640E-01  0.970286E+00  
    199.4100  0.226257E-01  0.977628E+00  
    166.2733  0.155888E-01  0.984532E+00  
    133.1367  0.935069E-02  0.990693E+00  
    100.0000  0.446235E-02  0.995548E+00  
 *********************************************
 redshift= 0.4
 *********************************************
   1701.9380  0.115320E-01  0.988534E+00
   1568.9730  0.870301E-02  0.991335E+00
   1436.0080  0.640624E-02  0.993614E+00
   1436.0080  0.118519E-01  0.988218E+00
   1398.7799  0.108223E-01  0.989236E+00
   1361.5518  0.985789E-02  0.990191E+00
   1361.5518  0.136526E-01  0.986440E+00
   1345.5960  0.131069E-01  0.986979E+00
   1329.6402  0.125770E-01  0.987502E+00
   1329.6402  0.155913E-01  0.984530E+00
   1321.2822  0.152548E-01  0.984861E+00
   1312.9242  0.149235E-01  0.985187E+00
   1312.9242  0.174734E-01  0.982678E+00
   1307.9857  0.172470E-01  0.982901E+00
   1303.0472  0.170228E-01  0.983121E+00
   1303.0472  0.192545E-01  0.980930E+00
   1299.8818  0.190932E-01  0.981088E+00
   1296.7164  0.189328E-01  0.981245E+00
   1296.7164  0.209304E-01  0.979287E+00
   1294.5632  0.208104E-01  0.979405E+00
   1292.4100  0.206909E-01  0.979522E+00
   1292.4100  0.225056E-01  0.977746E+00
   1290.8791  0.224135E-01  0.977836E+00
   1289.3482  0.223216E-01  0.977926E+00
   1289.3482  0.239874E-01  0.976298E+00
   1288.2205  0.239149E-01  0.976369E+00
   1287.0928  0.238425E-01  0.976439E+00
   1287.0928  0.253855E-01  0.974934E+00
   1286.2367  0.253272E-01  0.974991E+00
   1285.3806  0.252689E-01  0.975048E+00
   1285.3806  0.267062E-01  0.973647E+00
   1284.7170  0.266586E-01  0.973694E+00
   1284.0534  0.266109E-01  0.973740E+00
   1284.0534  0.279563E-01  0.972431E+00
   1283.5270  0.279167E-01  0.972469E+00
   1283.0006  0.278771E-01  0.972508E+00
   1283.0006  0.291415E-01  0.971279E+00
   1282.5771  0.291082E-01  0.971311E+00
   1282.1536  0.290750E-01  0.971344E+00
   1282.1536  0.302666E-01  0.970187E+00
   1281.8071  0.302383E-01  0.970214E+00
   1281.4606  0.302100E-01  0.970242E+00
   1281.4606  0.313376E-01  0.969148E+00
   1281.1736  0.313133E-01  0.969172E+00
   1280.8866  0.312891E-01  0.969195E+00
   1280.8866  0.323571E-01  0.968161E+00
   1280.6465  0.323361E-01  0.968181E+00
   1280.4064  0.323151E-01  0.968201E+00
   1280.4064  0.333288E-01  0.967221E+00
   1278.4282  0.331510E-01  0.967393E+00
   1276.4500  0.329738E-01  0.967564E+00
   1276.4500  0.329738E-01  0.967564E+00
   1237.2350  0.830965E-01  0.920262E+00
   1198.0200  0.130300E+00  0.877832E+00
   1158.8050  0.174578E+00  0.839812E+00
   1119.5900  0.215916E+00  0.805803E+00
   1080.3750  0.254291E+00  0.775466E+00
   1041.1600  0.289673E+00  0.748508E+00
   1001.9450  0.322024E+00  0.724681E+00
    962.7300  0.351299E+00  0.703773E+00
    923.5150  0.377446E+00  0.685610E+00
    884.3000  0.372963E+00  0.688691E+00
    845.0850  0.355838E+00  0.700586E+00
    805.8700  0.338239E+00  0.713025E+00
    766.6550  0.320168E+00  0.726027E+00
    727.4400  0.301642E+00  0.739603E+00
    688.2250  0.282686E+00  0.753757E+00
    649.0100  0.263339E+00  0.768481E+00
    609.7950  0.243654E+00  0.783759E+00
    570.5800  0.223692E+00  0.799562E+00
    531.3650  0.203529E+00  0.815846E+00
    492.1500  0.183255E+00  0.832556E+00
