-1.50905  0.04779  0.01666  0.05072 -0.04699  0.07212 -0.00165  0.00703  0.02838 -0.01517
-0.22110  0.22194  0.99684 -0.14986 -0.00946  0.00648  0.00416 -0.00225  0.00483  0.00068
-0.23890  0.80221  0.05065  0.82556  0.15672  0.03367 -0.01239  0.02142 -0.00588 -0.01230
-0.00596 -1.02390  0.32358  0.71344 -0.08542 -0.14048 -0.61908 -0.41813  0.04941  0.04148
-0.27616  0.48972  0.03225  0.05972 -0.58167  0.83355 -0.38384  0.26190  0.06470  0.21855
 0.10486  0.89539 -0.26568 -0.48130 -0.34697 -0.54264 -0.52542  0.40181  0.23729 -0.39384
 0.21871  0.43405 -0.30146 -0.68987  0.34147 -0.33574 -0.40234  0.10408 -0.76831  0.46874
 0.28883  0.27318 -0.03975  0.06385 -0.60349 -0.12300 -0.02736 -0.08332 -0.28380 -0.48182
-0.44809 -0.74115  0.12500 -0.21924  1.20387  0.07363 -0.33087  0.57438  0.39834 -0.03279
 0.75565  0.04614 -0.17550  0.15810 -0.44055 -0.74018  0.40489 -0.28074  0.15706  0.54744
