1237.50  1.99047 -0.02492 -0.00636  0.10776 -0.02685 -0.10413  0.05222 -0.04591 -0.00795  0.02105 -0.00636
1238.00  1.98791 -0.02584 -0.00654  0.10632 -0.02794 -0.10949  0.05466 -0.04264 -0.01172  0.01836 -0.00654
1238.50  1.98464 -0.02699 -0.00673  0.10471 -0.02789 -0.11573  0.05658 -0.03811 -0.01539  0.01681 -0.00673
1239.00  1.98040 -0.02823 -0.00701  0.10297 -0.02682 -0.12203  0.05777 -0.03342 -0.01973  0.01712 -0.00701
1239.50  1.97458 -0.02919 -0.00721  0.10149 -0.02496 -0.12683  0.05832 -0.03076 -0.02521  0.01761 -0.00721
1240.00  1.96656 -0.02958 -0.00714  0.10063 -0.02267 -0.12911  0.05831 -0.03176 -0.03204  0.01667 -0.00714
1240.50  1.95628 -0.02941 -0.00688  0.10013 -0.02045 -0.12950  0.05744 -0.03594 -0.04011  0.01487 -0.00688
1241.00  1.94386 -0.02889 -0.00659  0.09946 -0.01906 -0.12940  0.05526 -0.04134 -0.04933  0.01324 -0.00659
1241.50  1.92922 -0.02821 -0.00641  0.09805 -0.01871 -0.12971  0.05165 -0.04528 -0.06082  0.01322 -0.00641
1242.00  1.91201 -0.02739 -0.00625  0.09564 -0.01909 -0.13061  0.04654 -0.04602 -0.07576  0.01574 -0.00625
1242.50  1.89190 -0.02625 -0.00589  0.09240 -0.01995 -0.13154  0.04034 -0.04340 -0.09454  0.01989 -0.00589
1243.00  1.86901 -0.02471 -0.00522  0.08901 -0.02020 -0.13052  0.03499 -0.03889 -0.11470  0.02353 -0.00522
1243.50  1.84364 -0.02280 -0.00422  0.08639 -0.01847 -0.12559  0.03276 -0.03507 -0.13136  0.02300 -0.00422
1244.00  1.81570 -0.02048 -0.00298  0.08491 -0.01486 -0.11645  0.03332 -0.03275 -0.14282  0.01649 -0.00298
1244.50  1.78580 -0.01778 -0.00153  0.08456 -0.01041 -0.10370  0.03531 -0.03175 -0.15033  0.00631 -0.00153
1245.00  1.75498 -0.01493  0.00004  0.08490 -0.00626 -0.08927  0.03606 -0.03022 -0.15547 -0.00224  0.00004
1245.50  1.72352 -0.01220  0.00152  0.08523 -0.00300 -0.07465  0.03318 -0.02678 -0.15811 -0.00633  0.00152
1246.00  1.69168 -0.00982  0.00277  0.08491 -0.00081 -0.06111  0.02566 -0.02101 -0.15716 -0.00560  0.00277
1246.50  1.66000 -0.00783  0.00397  0.08350  0.00066 -0.05044  0.01496 -0.01356 -0.15264 -0.00096  0.00397
1247.00  1.62918 -0.00627  0.00499  0.08074  0.00197 -0.04297  0.00381 -0.00467 -0.14589  0.00641  0.00499
1247.50  1.59964 -0.00518  0.00562  0.07643  0.00355 -0.03778 -0.00595  0.00601 -0.13879  0.01517  0.00562
1248.00  1.57148 -0.00449  0.00584  0.07085  0.00549 -0.03398 -0.01414  0.01857 -0.13127  0.02368  0.00584
1248.50  1.54475 -0.00410  0.00552  0.06447  0.00754 -0.03102 -0.02099  0.03215 -0.12241  0.02908  0.00552
1249.00  1.51969 -0.00399  0.00475  0.05815  0.00928 -0.02878 -0.02648  0.04416 -0.11293  0.02942  0.00475
1249.50  1.49638 -0.00413  0.00382  0.05254  0.01021 -0.02693 -0.03069  0.05219 -0.10375  0.02385  0.00382
1250.00  1.47468 -0.00442  0.00295  0.04774  0.01033 -0.02545 -0.03321  0.05553 -0.09580  0.01373  0.00295
1250.50  1.45440 -0.00473  0.00224  0.04364  0.01006 -0.02470 -0.03393  0.05500 -0.09026  0.00157  0.00224
1251.00  1.43537 -0.00494  0.00162  0.04005  0.01000 -0.02502 -0.03327  0.05212 -0.08765 -0.01060  0.00162
1251.50  1.41766 -0.00499  0.00118  0.03693  0.01042 -0.02608 -0.03183  0.04775 -0.08776 -0.02151  0.00118
1252.00  1.40127 -0.00490  0.00118  0.03416  0.01110 -0.02705 -0.03029  0.04231 -0.08931 -0.03125  0.00118
1252.50  1.38612 -0.00474  0.00188  0.03153  0.01165 -0.02717 -0.02894  0.03655 -0.09074 -0.04033  0.00188
1253.00  1.37198 -0.00456  0.00318  0.02890  0.01194 -0.02610 -0.02759  0.03110 -0.09042 -0.04884  0.00318
1253.50  1.35863 -0.00437  0.00477  0.02621  0.01222 -0.02395 -0.02597  0.02654 -0.08691 -0.05642  0.00477
1254.00  1.34579 -0.00419  0.00633  0.02349  0.01272 -0.02106 -0.02414  0.02318 -0.08009 -0.06309  0.00633
1254.50  1.33336 -0.00409  0.00759  0.02092  0.01368 -0.01806 -0.02237  0.02102 -0.07156 -0.06909  0.00759
1255.00  1.32139 -0.00406  0.00845  0.01873  0.01504 -0.01561 -0.02090  0.02005 -0.06348 -0.07473  0.00845
1255.50  1.30993 -0.00412  0.00895  0.01697  0.01659 -0.01389 -0.01970  0.01995 -0.05636 -0.07996  0.00895
1256.00  1.29906 -0.00422  0.00911  0.01563  0.01823 -0.01289 -0.01862  0.02037 -0.05007 -0.08460  0.00911
